uuid,player,course,time,plays
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,4,11150,7
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,5,6532,16
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,7,17651,4
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,8,11697,7
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,10,10553,4
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,11,7803,5
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,13,31049,4
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,14,13350,5
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,15,12152,4
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,25,12449,11
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,29,27996,10
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,30,21796,2
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,2003,20146,10
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,12,17842,3
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,12,17302,10
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,121,16302,4
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,218,13052,2
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,200,18312,2
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,200,17951,6
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,28,16850,4
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,28,16701,7
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,28,18049,3
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,114,15650,5
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,114,20100,1
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,217,20702,6
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,217,-1,2
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,217,-1,3
05ac44cc-4b42-4000-a4f3-9fcf7869646f,Xamyr,12,19400,1
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,304,15907,4
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,108,22101,2
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,35,36699,1
e8fa0d08-b114-45dc-a0b5-8351ab90faf4,ThisTexanDuck,1,16553,2
5b317a41-b01a-42c9-a804-1b88aa3ef408,Navi___,35,5486,3
e8fa0d08-b114-45dc-a0b5-8351ab90faf4,ThisTexanDuck,2,10251,3
f3363094-ff55-453b-9dec-d7b46ef2234e,Parkourowiecc,104,27101,5
e8fa0d08-b114-45dc-a0b5-8351ab90faf4,ThisTexanDuck,4,12283,1
